participant_id,day,mean_wpm,mean_errors_per_phrase,error_rate_per_phrase,mean_cer,mean_accuracy,error_rate_per_keystroke,early_share_of_err,late_share_of_err,other_share_of_err,early_err_per_key,late_err_per_key,other_err_per_key,mean_trigger_offset_ms,median_trigger_offset_ms,mean_gaze_pinch_latency_ms,median_gaze_pinch_latency_ms,mean_approach_latency_ms,mean_fixation_dwell_ms,mean_key_hold_ms,mean_fixation_ms,mean_corrective_saccades
P01,1,6.691228390389304,0.48,0.4,0.096,0.9039999999999999,0.096,0.17047619047619048,0.4066666666666666,0.4228571428571429,0.02,0.028000000000000004,0.048,16.619999999999997,0.0,580.7053719337038,568.1,768.5780811021456,223.60727718686962,88.04964568283454,94.87368421052632,2.88
P01,2,9.014455161452933,0.48,0.36,0.096,0.9039999999999999,0.096,0.09357142857142857,0.3557142857142857,0.3507142857142857,0.012,0.044,0.04,14.151999999999997,0.0,553.8999198273203,530.4,728.362674016185,195.8346387544847,86.41798697351281,93.56372349219409,1.6600000000000001
P01,3,8.412729757961994,0.5,0.4,0.10000000000000002,0.9,0.1,0.18,0.45999999999999996,0.36,0.02,0.048,0.032,16.52391836734694,0.0,685.5253075291623,662.7,835.8751420041742,174.84446910253362,89.68769727612813,98.54928747151541,1.7280000000000002
P02,1,6.673461537970098,0.58,0.5,0.11600000000000002,0.884,0.11600000000000002,0.21071428571428572,0.3821428571428571,0.40714285714285714,0.027999999999999997,0.052000000000000005,0.036,11.331999999999999,0.0,758.2898746951475,758.9,920.0780958023577,173.26496823672693,80.59702551834131,91.99925309113544,2.652
P02,2,10.739679848673074,0.13999999999999999,0.12,0.028000000000000004,0.9720000000000001,0.028000000000000004,0.1,0.06666666666666667,0.6333333333333333,0.004,0.004,0.02,3.3883265306122454,0.0,585.8252322952,564.8,711.1767981758849,133.04843527738265,87.72326530612244,99.38349092737329,0.712
P02,3,10.793299277993201,0.14,0.12,0.028000000000000004,0.9720000000000001,0.028000000000000004,0.15,0.25,0.4,0.012,0.008,0.008,0.592,0.0,619.4679000925069,585.5,728.1097508374248,117.69405568556672,86.50661224489795,98.71992995892995,0.9
P03,1,10.838183675180709,0.18,0.14,0.036000000000000004,0.9640000000000001,0.036,0.36666666666666664,0.06666666666666667,0.36666666666666664,0.02,0.004,0.012,-3.4347755102040813,0.0,559.6438109695835,567.3,716.0324313864949,156.42432746213706,124.60607575757577,104.05874331439114,0.688
P03,2,10.108549049756132,0.27999999999999997,0.22000000000000003,0.05600000000000001,0.9440000000000002,0.05600000000000001,0.24666666666666667,0.18,0.5733333333333334,0.016,0.012,0.028000000000000004,3.8880000000000003,0.0,602.5244680851064,555.3,713.0790009816507,130.29690629011554,114.79609284332689,99.30746990971991,1.088
P03,3,14.138126158106894,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.5667676767677,517.8,658.1404784186401,96.9781528520499,98.836,102.35351119142295,0.364
P04,1,4.2423504422773135,0.78,0.5399999999999999,0.156,0.844,0.156,0.1861111111111111,0.4833333333333333,0.33055555555555555,0.028000000000000004,0.076,0.052000000000000005,41.96,0.0,462.23753854455754,407.8,644.4254329245634,217.65349684132292,127.10325047264564,87.61439073272406,4.792
P04,2,8.514782774430794,0.58,0.42000000000000004,0.11600000000000002,0.884,0.12000000000000002,0.33999999999999997,0.3164285714285714,0.3435714285714286,0.04,0.04,0.04,4.708,0.0,587.2164916108138,579.9,742.031417642406,191.60341967261095,138.3431194094659,101.77599413625589,1.0639999999999998
P04,3,7.050718334454423,0.5,0.4,0.1,0.9,0.1,0.27222222222222225,0.2111111111111111,0.5166666666666666,0.032,0.024,0.044,3.3519999999999994,0.0,702.0218604902552,684.7,870.961616645108,213.32968651763719,143.70289275736087,98.7492561103367,2.16
P05,1,3.012261895921326,1.8199999999999998,0.9,0.364,0.6359999999999999,0.368,0.24308985132514546,0.5317560870502047,0.22515406162464985,0.092,0.192,0.084,385.48890328305237,0.0,540.8863435763321,536.8,701.2711142439432,218.28809837092732,137.105291005291,97.04773644559745,5.736
P05,2,5.139536933925583,1.02,0.7,0.20400000000000001,0.796,0.20400000000000001,0.23434065934065934,0.5122710622710622,0.2533882783882784,0.044,0.12,0.04,155.43599999999998,0.0,602.127822410148,607.6,767.3311799879575,224.22701041498993,111.84679130657996,99.2901421566147,4.012
P05,3,8.676752020928301,0.36,0.33999999999999997,0.072,0.9279999999999999,0.072,0.24,0.13,0.63,0.02,0.012,0.04,1.2561632653061223,0.0,515.7285408163265,532.0,704.2471428571429,214.01753278545203,147.18699999999998,94.25327603098656,1.6199999999999999
P06,1,4.7664565632269085,2.88,0.9800000000000001,0.576,0.42400000000000004,0.58,0.33814358596103017,0.4933023541705083,0.16855405986846148,0.20400000000000001,0.27999999999999997,0.096,317.55361381065455,0.0,479.84522881814445,421.0,688.0452981197427,252.5731147946561,134.92756756756756,98.55778282279947,2.092
P06,2,6.572096831808707,1.8,0.8400000000000001,0.36,0.64,0.36,0.37733333333333335,0.4246666666666667,0.198,0.136,0.152,0.072,118.53841954428,0.0,523.5110484110485,519.9,714.8260816912973,251.50139778325124,136.89194312857344,100.28522866845103,1.8800000000000001
P06,3,7.415810268448152,0.48,0.36,0.096,0.9040000000000001,0.096,0.2833333333333333,0.325,0.39166666666666666,0.028000000000000004,0.036,0.032,56.28000000000001,0.0,685.7611325611326,664.1,847.1598092323093,181.43720403095404,174.80225757575755,100.16533387084415,2.212
