timestamp,participant,day_label,mental,physical,temporal,performance_raw,effort,frustration,participant_id,day,performance,raw_tlx
2026. 6. 5 오후 1:27:11,1,Day1,10,3,14,15,15,5,P01,1,5,8.666666666666666
2026. 6. 5 오후 1:45:02,1,Day2,13,0,15,16,13,3,P01,2,4,8.0
2026. 6. 6 오후 3:58:26,1,Day3,13,3,15,13,13,5,P01,3,7,9.333333333333334
2026. 6. 5 오후 1:27:31,2,Day1,3,5,10,8,15,5,P02,1,12,8.333333333333334
2026. 6. 5 오후 1:49:27,2,Day2,3,7,8,5,15,5,P02,2,15,8.833333333333334
2026. 6. 6 오후 4:07:10,2,Day3,3,8,5,3,15,3,P02,3,17,8.5
2026. 6. 8 오후 3:03:06,3,Day1,0,0,0,13,2,0,P03,1,7,1.5
2026. 6. 9 오전 9:56:30,3,Day2,0,0,4,9,4,0,P03,2,11,3.1666666666666665
2026. 6. 10 오후 2:32:49,3,Day3,1,0,0,0,15,0,P03,3,20,6.0
2026. 6. 8 오후 9:08:35,4,Day1,15,10,5,15,15,12,P04,1,5,10.333333333333334
2026. 6. 10 오후 7:34:31,4,Day2,5,10,5,10,15,5,P04,2,10,8.333333333333334
2026. 6. 10 오후 7:48:38,4,Day3,5,10,5,5,10,5,P04,3,15,8.333333333333334
2026. 6. 9 오전 10:25:31,5,Day1,20,18,8,15,18,20,P05,1,5,14.833333333333334
2026. 6. 10 오후 7:52:59,5,Day2,10,12,10,15,18,10,P05,2,5,10.833333333333334
2026. 6. 10 오후 8:03:58,5,Day3,5,5,5,18,10,5,P05,3,2,5.333333333333333
2026. 6. 9 오전 10:50:19,6,Day1,17,18,10,17,16,15,P06,1,3,13.166666666666666
2026. 6. 11 오후 1:56:12,6,Day2,15,18,15,10,17,15,P06,2,10,15.0
2026. 6. 10 오후 9:44:18,6,Day3,7,9,8,5,7,6,P06,3,15,8.666666666666666
