block,dv,n,F,anova_p,partial_eta2,friedman_chi2,friedman_p,kendall_w,trend_slope,trend_p,mean_d1,mean_d2,mean_d3,holm_p_1v2,holm_p_2v3,holm_p_1v3
1),mean_wpm,6,10.5209,0.0035,0.6779,7.0,0.0302,0.5833,1.6886,0.0018,6.0373,8.3482,9.4146,0.0525,0.2967,0.0054
1),mean_accuracy,6,4.0756,0.0508,0.4491,4.4545,0.1078,0.3712,0.079,0.0955,0.776,0.8567,0.934,0.2586,0.2586,0.2586
1),error_rate_per_phrase,6,6.3789,0.0164,0.5606,6.6364,0.0362,0.553,-0.1533,0.0307,0.5767,0.4433,0.27,0.1771,0.1771,0.0922
1),error_rate_per_keystroke,6,4.0668,0.051,0.4485,4.4545,0.1078,0.3712,-0.0797,0.096,0.2253,0.144,0.066,0.2696,0.2696,0.2696
1),mean_errors_per_phrase,6,4.0756,0.0508,0.4491,3.7391,0.1542,0.3116,-0.395,0.0955,1.12,0.7167,0.33,0.2586,0.2586,0.2586
2a),early_err_per_key,6,2.6031,0.123,0.3424,3.3913,0.1835,0.2826,-0.0233,0.1582,0.0653,0.042,0.0187,0.3417,0.3417,0.3417
2a),late_err_per_key,6,3.7586,0.0606,0.4291,3.0,0.2231,0.25,-0.042,0.1062,0.1053,0.062,0.0213,0.3096,0.3096,0.3096
2a),other_err_per_key,6,6.4632,0.0158,0.5638,7.913,0.0191,0.6594,-0.0143,0.023,0.0547,0.04,0.026,0.1971,0.1971,0.0689
2b),early_share_of_err,5,0.9692,0.4199,0.195,2.8,0.2466,0.28,0.0559,0.2907,0.3504,0.4103,0.4622,0.9299,0.9299,0.8721
2b),late_share_of_err,5,0.9692,0.4199,0.195,2.8,0.2466,0.28,-0.0559,0.2907,0.6496,0.5897,0.5378,0.9299,0.9299,0.8721
3),mean_gaze_pinch_latency_ms,6,0.9352,0.4243,0.1576,0.3333,0.8465,0.0278,31.3719,0.3421,563.6014,575.8508,626.3453,0.8494,0.8494,0.8494
3),mean_approach_latency_ms,6,0.4579,0.6452,0.0839,1.0,0.6065,0.0833,17.172,0.6019,739.7384,729.4679,774.0823,1.0,0.845,1.0
3),mean_fixation_dwell_ms,6,7.1912,0.0116,0.5899,8.3333,0.0155,0.6944,-20.2925,0.0188,206.9685,187.752,166.3835,0.0902,0.1426,0.0563
3),mean_trigger_offset_ms,6,2.9042,0.1013,0.3674,5.3333,0.0695,0.4444,-57.6263,0.1498,128.2533,50.0185,13.0007,0.4005,0.4005,0.4005
